filepath,D_IMRANG,RET-ANG1,RET-POS1,single_sum,single_diff,LCOUNTS,RCOUNTS,sum_std,diff_std,wavelength_bin
/home/shared/exoserver/CHARIS-cals/new_data/cubes/pick_in/CRSA00170898_cube.fits,69.99973,0.0,15.3,69448744.80040622,-49339848.843404055,59394296.821905136,10054447.97850108,8333.591350696663,8333.591350696663,1685.9701
/home/shared/exoserver/CHARIS-cals/new_data/cubes/pick_in/CRSA00170902_cube.fits,69.99973,45.0,45.0,64292091.02900791,49276435.35177517,7507827.838616371,56784263.19039154,8018.234907322678,8018.234907322678,1685.9701
/home/shared/exoserver/CHARIS-cals/new_data/cubes/pick_in/CRSA00170899_cube.fits,69.99976,11.25,0.0,68127974.42837858,-18324501.22308588,43226237.82573223,24901736.60264635,8253.967193318531,8253.967193318531,1685.9701
/home/shared/exoserver/CHARIS-cals/new_data/cubes/pick_in/CRSA00170903_cube.fits,69.99973,56.25,45.0,65699650.08552408,20543935.83385992,22577857.12583208,43121792.959692,8105.532066775388,8105.532066775388,1685.9701
/home/shared/exoserver/CHARIS-cals/new_data/cubes/pick_in/CRSA00170900_cube.fits,69.99973,22.5,22.5,65940649.93343449,22400693.59659767,21769978.168418407,44170671.76501608,8120.384838998364,8120.384838998364,1685.9701
/home/shared/exoserver/CHARIS-cals/new_data/cubes/pick_in/CRSA00170904_cube.fits,69.99973,67.5,67.5,67695309.38484669,-19166668.633951187,43430989.00939894,24264320.37544775,8227.715927573501,8227.715927573501,1685.9701
/home/shared/exoserver/CHARIS-cals/new_data/cubes/pick_in/CRSA00170901_cube.fits,69.99973,33.75,33.75,64301173.40385473,50241685.95569003,7029743.724082351,57271429.67977238,8018.801244815507,8018.801244815507,1685.9701
/home/shared/exoserver/CHARIS-cals/new_data/cubes/pick_in/CRSA00170905_cube.fits,69.99973,78.75,78.552,69137101.44007099,-47490911.950681806,58314006.6953764,10823094.74469459,8314.87230449578,8314.87230449578,1685.9701
/home/shared/exoserver/CHARIS-cals/new_data/cubes/pick_in/CRSA00170907_cube.fits,82.49972,0.0,0.0,69786378.67903073,-66677213.118824646,68231795.89892769,1554582.7801030427,8353.824194884084,8353.824194884084,1685.9701
/home/shared/exoserver/CHARIS-cals/new_data/cubes/pick_in/CRSA00170911_cube.fits,82.49972,45.0,33.75,63528554.79556379,62185952.09148875,671301.3520375211,62857253.44352627,7970.480211101699,7970.480211101699,1685.9701
/home/shared/exoserver/CHARIS-cals/new_data/cubes/pick_in/CRSA00170908_cube.fits,82.49972,11.25,0.0,69025460.01335597,-42112789.35316777,55569124.68326187,13456335.3300941,8308.156234289048,8308.156234289048,1685.9701
/home/shared/exoserver/CHARIS-cals/new_data/cubes/pick_in/CRSA00170912_cube.fits,82.49972,56.25,45.0,64924670.18199658,38625285.17997432,13149692.501011131,51774977.68098545,8057.584636973824,8057.584636973824,1685.9701
/home/shared/exoserver/CHARIS-cals/new_data/cubes/pick_in/CRSA00170909_cube.fits,82.49972,22.5,22.5,66764773.86829662,5304661.039066315,30730056.414615154,36034717.45368147,8170.971415217203,8170.971415217203,1685.9701
/home/shared/exoserver/CHARIS-cals/new_data/cubes/pick_in/CRSA00170913_cube.fits,82.49972,67.5,67.5,67198013.36307096,-8375168.068039417,37786590.71555519,29411422.647515774,8197.43943942686,8197.43943942686,1685.9701
/home/shared/exoserver/CHARIS-cals/new_data/cubes/pick_in/CRSA00170910_cube.fits,82.49972,33.75,33.75,64473302.21934605,48390819.26859188,8041241.475377083,56432060.74396896,8029.526898849399,8029.526898849399,1685.9701
/home/shared/exoserver/CHARIS-cals/new_data/cubes/pick_in/CRSA00170914_cube.fits,82.49972,78.75,78.75,69190599.64675212,-51706512.42040944,60448556.03358078,8742043.613171339,8318.08870154389,8318.08870154389,1685.9701
