,path,D_IMRANG,FILTER01,OBS-MOD,RET-POS1,U_FLC,GAIN,EXPTIME,diff,diff_std,sum,sum_std
797,/mnt/userdata/mlucas/20230914_hwp_calib/data/diff/vsync_22:36:39.021771.cam1.A_collapsed_diff.fits,57.5,725-50,IPOL,45,A,0.105,0.0471744,-8558,464.30777,14433,533.3257
654,/mnt/userdata/mlucas/20230914_hwp_calib/data/diff/vsync_22:46:47.306449.cam1.A_collapsed_diff.fits,57.5,750-50,IPOL,45,A,0.105,0.0471744,-9720,476.48495,14274,512.4429
197,/mnt/userdata/mlucas/20230914_hwp_calib/data/diff/vsync_22:48:30.969265.cam1.A_collapsed_diff.fits,57.5,775-50,IPOL,45,A,0.105,0.0471744,-3665,220.63486,6192,245.61641
310,/mnt/userdata/mlucas/20230914_hwp_calib/data/diff/vsync_23:34:42.163315.cam1.A_collapsed_diff.fits,57.5,Open,IPOL_MBI,45,A,0.105,0.0962496,[ -8490.5 -13912.   -1018.5    572.5],[467.48277192 772.88159687 422.43722422 145.65614428],[17605.  29560.5 13269.   3610. ],[631.37053463 798.59375499 336.00398845  99.50393507]
141,/mnt/userdata/mlucas/20230914_hwp_calib/data/diff/vsync_22:18:08.501230.cam1.B_collapsed_diff.fits,57.5,Open,IPOL,45,B,0.105,0.0471744,8606,708.7073,31799,1114.7819
152,/mnt/userdata/mlucas/20230914_hwp_calib/data/diff/vsync_22:24:37.783858.cam1.B_collapsed_diff.fits,57.5,625-50,IPOL,45,B,0.105,0.0471744,-1386,73.026085,1777,357.82065
98,/mnt/userdata/mlucas/20230914_hwp_calib/data/diff/vsync_22:34:46.517706.cam1.B_collapsed_diff.fits,57.5,675-50,IPOL,45,B,0.105,0.0471744,-179,204.5469,7362,282.22925
356,/mnt/userdata/mlucas/20230914_hwp_calib/data/diff/vsync_22:36:39.021771.cam1.B_collapsed_diff.fits,57.5,725-50,IPOL,45,B,0.105,0.0471744,7132,430.22116,14078,518.3683
740,/mnt/userdata/mlucas/20230914_hwp_calib/data/diff/vsync_22:46:47.306449.cam1.B_collapsed_diff.fits,57.5,750-50,IPOL,45,B,0.105,0.0471744,7090,404.47653,13878.5,506.15076
135,/mnt/userdata/mlucas/20230914_hwp_calib/data/diff/vsync_22:48:30.969265.cam1.B_collapsed_diff.fits,57.5,775-50,IPOL,45,B,0.105,0.0471744,2282,183.07964,6054,233.55708
773,/mnt/userdata/mlucas/20230914_hwp_calib/data/diff/vsync_23:34:42.163315.cam1.B_collapsed_diff.fits,57.5,Open,IPOL_MBI,45,B,0.105,0.0962496,[ 7748.  11204.5   704.   -652.5],[458.2984755  616.34148001 240.19662769  79.55876592],[18529.5 28915.  13345.5  3617.5],[671.73190544 688.66563908 347.70640132  91.45335147]
216,/mnt/userdata/mlucas/20230914_hwp_calib/data/diff/vsync_22:18:47.686477.cam1.A_collapsed_diff.fits,70,Open,IPOL,45,A,0.105,0.0471744,10508,421.33194,33168,1121.7714
792,/mnt/userdata/mlucas/20230914_hwp_calib/data/diff/vsync_22:25:16.790688.cam1.A_collapsed_diff.fits,70,625-50,IPOL,45,A,0.105,0.0471744,1329,70.76645,1720,80.69819
161,/mnt/userdata/mlucas/20230914_hwp_calib/data/diff/vsync_22:34:06.473889.cam1.A_collapsed_diff.fits,70,675-50,IPOL,45,A,0.105,0.0471744,747,174.73653,7357,281.86124
567,/mnt/userdata/mlucas/20230914_hwp_calib/data/diff/vsync_22:37:18.588443.cam1.A_collapsed_diff.fits,70,725-50,IPOL,45,A,0.105,0.0471744,-703,312.19135,14155,508.8656
